Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
3.75,93.61,0,0.0049,3.47,0.074,0.2609,0.3744,4.18,102.74,652429,2.2,34.85,5.8393,2013
12.37,98.71,0,-0.0056,0.08,0.0058,0,0.2651,4.18,102.74,652429,2.2,34.85,5.8393,2013
5.63,91.99,-0.12,0.0127,4.29,0.1642,0.0798,0.5084,3.96,103.97,687816,4.02,35.08,6.139,2014
21.34,97.49,0.4325,-0.0012,0.6,0.0315,0.5949,0.8165,3.96,103.97,687816,4.02,35.08,6.139,2014
3.89,94.97,0.1425,0.0044,4.53,0.0098,0.1456,0.4049,3.96,103.97,687816,4.02,35.08,6.139,2014
13.53,93.96,1.4975,0.0055,2.36,0.0055,0.1114,0.1753,3.96,103.97,687816,4.02,35.08,6.139,2014
8.79,102.79,0.5375,0.0204,6.97,0.0017,0.2188,0.8947,3.96,103.97,687816,4.02,35.08,6.139,2014
5.54,97.1,0.575,-0.0005,0.82,0.0052,0.7289,0.9105,3.96,103.97,687816,4.02,35.08,6.139,2014
4.77,98.45,0.0675,-0.0044,0,0.0263,0.1325,0.4305,3.96,103.97,687816,4.02,35.08,6.139,2014
5.3,93.04,2.01,0.0068,3.81,0.2458,0.084,0.5741,3.96,103.97,687816,4.02,35.08,6.139,2014
1.67,95.02,1.9475,0.003,1.11,0.0132,0,0.5867,3.96,103.97,687816,4.02,35.08,6.139,2014
9.81,99.09,0.3075,-0.0042,3.46,0.0077,0.2414,0.7569,3.96,103.97,687816,4.02,35.08,6.139,2014
17.1,86.63,-0.7375,0.0194,0.83,0.004,0.4834,0.4528,3.96,103.97,687816,4.02,35.08,6.139,2014
3.46,94.77,0.8125,0.0075,4.54,0.1516,0.0465,0.3818,3.96,103.97,687816,4.02,35.08,6.139,2014
6.47,97.5,-0.2525,0.0021,3.61,0.0279,0.1649,0.4857,3.96,103.97,687816,4.02,35.08,6.139,2014
4.28,96.75,-0.1375,0.003,3.28,0.0512,0.1375,0.4973,3.96,103.97,687816,4.02,35.08,6.139,2014
5.1,96.82,-0.0175,0.0036,3.87,0.0264,0.1535,0.4462,3.96,103.97,687816,4.02,35.08,6.139,2014
1.52,96.61,0.155,-0.0021,2.92,0.0135,0.0916,1.6507,3.96,103.97,687816,4.02,35.08,6.139,2014
5.62,96.47,0.355,0.0009,4.12,0.0812,0.1867,0.5975,3.96,103.97,687816,4.02,35.08,6.139,2014
12.66,89.74,0.5825,-0.0143,3.23,0.0027,0.2276,0.2465,3.96,103.97,687816,4.02,35.08,6.139,2014
10.94,91.43,-0.18,-0.0023,2.98,0.0056,0.2788,0.3451,3.96,103.97,687816,4.02,35.08,6.139,2014
9,95.44,0.32,0.0129,4.09,0.0144,0.1372,1.5822,3.96,103.97,687816,4.02,35.08,6.139,2014
3.07,93.29,0.5475,0.0059,4,0.0597,0.2028,0.4761,3.96,103.97,687816,4.02,35.08,6.139,2014
4.33625,94.4325,0.455,0.0825,0.82,4.53,0.04047182,0.000024,3.78,103.65,714277,0.72,35.28,6.4,2015
7.28375,94.9,0,0,0,6.1,0.04047182,0.0033,3.78,103.65,714277,0.72,35.28,6.4,2015
14.1725,96.23,0,0,0,1.53,0,0.014063,3.78,103.65,714277,0.72,35.28,6.4,2015
32.35125,87.315,0,0,0,4.66,0.10253628,0.004,3.78,103.65,714277,0.72,35.28,6.4,2015
8.5375,91.8275,0,0,0,1.15,0.02932148,0.0056,3.78,103.65,714277,0.72,35.28,6.4,2015
6.2425,97.8675,0,0,0,8.06,0.02608972,0.0041,3.78,103.65,714277,0.72,35.28,6.4,2015
5.8725,94.755,0.47,0.0925,0.86,2.99,0,0.0434,3.78,103.65,714277,0.72,35.28,6.4,2015
8.9675,95.685,0,0,0,0.75,0.06860687,0.01096,3.78,103.65,714277,0.72,35.28,6.4,2015
8.135,95.375,0,0,0,1.75,0,0.005,3.78,103.65,714277,0.72,35.28,6.4,2015
33.8625,87.7775,0,0,0,0.64,0.08222146,0.012339,3.78,103.65,714277,0.72,35.28,6.4,2015
